timestamp,equipment_id,fault_code,description,severity,action_taken,downtime_hours,technician
2024-01-01T19:20:00,CC-002,CC-F005,Tundish nozzle erosion,medium,Conducted hot repair of refractory,1.9,Tech-471
2024-01-03T12:16:00,BOF-001,BOF-F004,Slopping event,medium,Applied weld overlay repair,56.6,Tech-392
2024-01-03T13:28:00,BF-002,BF-F002,Cooling water leak,high,Realigned coupling assembly,43.0,Tech-398
2024-01-04T10:49:00,RM-001,RM-F001,Main motor bearing failure,critical,Adjusted operating parameters,46.1,Tech-368
2024-01-04T23:13:00,RM-001,RM-F007,Coolant nozzle blockage,low,Tightened connections and re-sealed,5.7,Tech-533
2024-01-06T03:49:00,BOF-001,BOF-F006,Hood duct damage,low,Recalibrated sensors,16.1,Tech-923
2024-01-08T06:19:00,LF-001,LF-F001,Electrode breakage,high,Cleaned and flushed system,55.4,Tech-882
2024-01-09T18:55:00,RM-003,RM-F003,Roll surface spalling,high,Replaced filter cartridge,56.1,Tech-150
2024-01-09T21:52:00,LF-002,LF-F005,Hydraulic roof lift failure,medium,Replaced cooling element,21.9,Tech-779
2024-01-10T09:36:00,RM-001,RM-F001,Main motor bearing failure,critical,Tightened connections and re-sealed,8.2,Tech-443
2024-01-10T10:00:00,RM-002,RM-F006,AGC calibration drift,low,Applied weld overlay repair,47.5,Tech-969
2024-01-10T14:57:00,CC-001,CC-F003,SEN clogging,high,Applied temporary fix; permanent repair scheduled,48.9,Tech-261
2024-01-15T17:26:00,RM-001,RM-F005,Motor insulation degradation,high,Performed emergency repair,16.6,Tech-961
2024-01-15T22:34:00,BOF-001,BOF-F003,Trunnion bearing overheating,high,Adjusted operating parameters,20.1,Tech-155
2024-01-17T07:13:00,RM-003,RM-F005,Motor insulation degradation,high,Performed emergency repair,7.7,Tech-134
2024-01-18T16:46:00,RM-003,RM-F001,Main motor bearing failure,critical,Applied temporary fix; permanent repair scheduled,38.8,Tech-393
2024-01-20T14:20:00,BF-002,BF-F002,Cooling water leak,high,Recalibrated sensors,11.3,Tech-807
2024-01-22T10:10:00,BF-002,BF-F004,Hearth erosion detected,critical,Applied weld overlay repair,68.3,Tech-571
2024-01-22T21:52:00,BF-002,BF-F002,Cooling water leak,high,Applied temporary fix; permanent repair scheduled,41.7,Tech-881
2024-01-25T21:12:00,BOF-002,BOF-F002,Lance tip erosion,high,Recalibrated sensors,24.0,Tech-985
2024-01-26T05:47:00,BOF-001,BOF-F004,Slopping event,medium,Replaced bearing assembly,56.4,Tech-521
2024-01-26T23:17:00,LF-002,LF-F001,Electrode breakage,high,Cleaned and flushed system,16.5,Tech-854
2024-01-27T19:59:00,CC-002,CC-F005,Tundish nozzle erosion,medium,Replaced filter cartridge,59.8,Tech-373
2024-01-28T17:12:00,BOF-002,BOF-F005,Tap hole blockage,medium,Realigned coupling assembly,47.0,Tech-658
2024-01-28T19:30:00,LF-001,LF-F003,Porous plug blockage,medium,Applied temporary fix; permanent repair scheduled,69.6,Tech-901
2024-01-29T03:56:00,CC-002,CC-F003,SEN clogging,high,Applied temporary fix; permanent repair scheduled,13.3,Tech-371
2024-01-29T10:59:00,RM-002,RM-F002,Gear coupling misalignment,high,Performed emergency repair,60.5,Tech-765
2024-01-30T20:38:00,CC-001,CC-F001,Breakout event,critical,Applied weld overlay repair,17.6,Tech-262
2024-02-07T14:05:00,RM-003,RM-F007,Coolant nozzle blockage,low,Replaced bearing assembly,18.5,Tech-218
2024-02-08T01:23:00,CC-001,CC-F004,Roll misalignment,medium,Applied temporary fix; permanent repair scheduled,6.0,Tech-984
2024-02-10T13:47:00,CC-001,CC-F001,Breakout event,critical,Replaced bearing assembly,43.7,Tech-126
2024-02-12T00:05:00,RM-002,RM-F007,Coolant nozzle blockage,low,Replaced damaged component,68.3,Tech-889
2024-02-12T09:23:00,RM-003,RM-F002,Gear coupling misalignment,high,Applied weld overlay repair,70.0,Tech-140
2024-02-12T11:34:00,BF-002,BF-F007,Dust catcher overflow,low,Recalibrated sensors,47.8,Tech-170
2024-02-12T23:28:00,RM-002,RM-F005,Motor insulation degradation,high,Replaced cooling element,16.1,Tech-535
2024-02-13T07:13:00,BF-002,BF-F005,Gas leak at top seal,medium,Realigned coupling assembly,64.0,Tech-586
2024-02-13T09:45:00,BOF-001,BOF-F003,Trunnion bearing overheating,high,Performed emergency repair,25.3,Tech-552
2024-02-14T23:29:00,RM-001,RM-F007,Coolant nozzle blockage,low,Replaced cooling element,9.4,Tech-487
2024-02-15T11:34:00,RM-002,RM-F002,Gear coupling misalignment,high,Replaced bearing assembly,58.7,Tech-279
2024-02-15T18:41:00,BOF-001,BOF-F006,Hood duct damage,low,Replaced filter cartridge,46.7,Tech-870
2024-02-17T15:23:00,BF-001,BF-F002,Cooling water leak,high,Recalibrated sensors,66.3,Tech-283
2024-02-19T00:26:00,BF-002,BF-F007,Dust catcher overflow,low,Adjusted operating parameters,60.7,Tech-336
2024-02-19T07:47:00,CC-001,CC-F005,Tundish nozzle erosion,medium,Replaced damaged component,29.3,Tech-339
2024-02-21T17:15:00,CC-002,CC-F004,Roll misalignment,medium,Performed emergency repair,33.1,Tech-920
2024-02-21T20:34:00,CC-002,CC-F001,Breakout event,critical,Replaced damaged component,69.8,Tech-871
2024-02-22T09:38:00,RM-003,RM-F007,Coolant nozzle blockage,low,Applied temporary fix; permanent repair scheduled,25.6,Tech-691
2024-02-23T04:10:00,LF-001,LF-F001,Electrode breakage,high,Applied weld overlay repair,44.7,Tech-790
2024-02-24T11:00:00,CC-001,CC-F005,Tundish nozzle erosion,medium,Conducted hot repair of refractory,10.3,Tech-934
2024-02-24T12:32:00,BF-001,BF-F004,Hearth erosion detected,critical,Replaced bearing assembly,17.4,Tech-183
2024-02-25T07:31:00,RM-003,RM-F003,Roll surface spalling,high,Recalibrated sensors,8.6,Tech-611
2024-02-25T21:41:00,RM-003,RM-F004,Hydraulic oil contamination,medium,Replaced filter cartridge,7.5,Tech-512
2024-02-26T14:08:00,CC-002,CC-F004,Roll misalignment,medium,Replaced cooling element,30.2,Tech-677
2024-02-27T04:32:00,CC-002,CC-F002,Mold sticking detected,high,Applied temporary fix; permanent repair scheduled,17.2,Tech-849
2024-02-27T09:22:00,RM-002,RM-F007,Coolant nozzle blockage,low,Replaced bearing assembly,31.3,Tech-350
2024-02-29T07:56:00,RM-001,RM-F002,Gear coupling misalignment,high,Tightened connections and re-sealed,68.2,Tech-187
2024-02-29T17:26:00,BOF-001,BOF-F004,Slopping event,medium,Recalibrated sensors,40.3,Tech-237
2024-03-02T19:47:00,LF-001,LF-F005,Hydraulic roof lift failure,medium,Performed emergency repair,68.3,Tech-312
2024-03-03T23:20:00,LF-001,LF-F005,Hydraulic roof lift failure,medium,Replaced damaged component,4.1,Tech-588
2024-03-04T07:08:00,BF-002,BF-F001,Tuyere burnout,critical,Cleaned and flushed system,59.4,Tech-481
2024-03-05T03:53:00,LF-001,LF-F004,Roof water leak,critical,Conducted hot repair of refractory,43.2,Tech-116
2024-03-05T18:06:00,BOF-002,BOF-F003,Trunnion bearing overheating,high,Applied weld overlay repair,62.8,Tech-291
2024-03-06T15:28:00,BF-002,BF-F006,Charging system malfunction,medium,Applied weld overlay repair,26.4,Tech-707
2024-03-06T17:03:00,RM-002,RM-F006,AGC calibration drift,low,Performed emergency repair,71.0,Tech-583
